Title,Cap1,Cap2,Cap3
frame0-00-00.00.jpg,a black background with a giraffe and another giraffe,black and white photo of an airplane with a landing strip,this is the image of an airplane that was captured in the sky
frame0-00-00.50.jpg,a traffic light in front of high rise buildings at night,buildings are in the dark and on a foggy night,a black and white photo shows a large city at night
frame0-00-01.00.jpg,view of the city from across a wide bay,a city scene looking over some tall buildings,there is an image of outside in the day
frame0-00-01.50.jpg,a view from a train in the city with skyscrapers,a very tall building with lots of windows,buildings in the city skyline near one another
frame0-00-02.00.jpg,an aerial photo looking at tall buildings,the view from the river bank of tall buildings,an image of the city skyline taken from across the water
frame0-00-02.50.jpg,looking down at two buildings from the windows in a city,two large buildings behind the other tall building,the view from a parking lot of a city street
frame0-00-03.00.jpg,large brown building with trees in front and a lot of windows,two tall buildings are next to each other,"view from the street, looking out over a field to a large city"
frame0-00-03.50.jpg,large brick buildings in the background are all surrounded by tall skyscrapers,the buildings are all lined up with windows,an apartment building towering over a city filled with tall buildings
frame0-00-04.00.jpg,large brown buildings in a city with tall windows,"a city street with tall buildings, a red bus and some red fire hydrants",two high rise brown buildings are shown from far away
frame0-00-04.50.jpg,a street sign in front of tall buildings,a red stop sign on a city street,many tall buildings next to each other in the city
frame0-00-05.00.jpg,the little girl is sitting on the train,the young child is wearing a hooded jacket and holding her arms folded on a subway bus,a little girl is sitting in a bus
frame0-00-05.51.jpg,"a little girl sitting on the subway, in winter coat",an asian child looks at the camera while sitting on a bus,the little girl is waiting on the bus
frame0-00-06.01.jpg,the girl has dark hair and is wearing a yellow jacket,small child in yellow jacket on subway car with arms folded,a small child sits in a train car
frame0-00-06.51.jpg,the small girl is waiting to ride on the subway,little girl sitting on a bus with her hands folded up,a child with black hair in a coat sitting on the subway
frame0-00-07.01.jpg,an asian girl looking through the window of a train,a child is sitting on a train and has their arms folded,a small child wearing a jacket while sitting on a bus
frame0-00-07.51.jpg,a man on a bench with some swords,a man sitting on a bench holding two swords,the old man is putting his sword on the pole
frame0-00-08.01.jpg,a man sits on the ground holding a crutch,a man sitting on the steps looking at something,a man is sitting down while holding a sword and a cell phone
frame0-00-08.51.jpg,"the man is on the step, wearing boots and holding his umbrella",a man holding a pole with a rope near his head,a man is sitting outside with cane in hand
frame0-00-09.01.jpg,a man leaning against a rail on top of stairs,an old man in an enclosure drinking a glass of water,the man is checking his watch outside the building
frame0-00-09.51.jpg,a man riding a skateboard down a sidewalk,a street sign in front of a wall,a black and white sign on a red fence
frame0-00-10.01.jpg,the sign is posted on the brick wall,a sign that says canal street is in the corner,there is a canal street sign in the building
frame0-00-10.51.jpg,"there is no circle in this map, and you can not see where the street names are",this is the image of a street map with a red circle,a map shows a red circle across a white background
frame0-00-11.01.jpg,a map with an image of a red circle in front of it,this is a close up map of a street,a picture of a map with a compass on top
frame0-00-11.51.jpg,a map with some red marker on it,a city map shows an intersection with a red circle,a close up of a street map with a red circle and a small circle in it
frame0-00-12.01.jpg,a closeup of a map with a red arrow pointing at a small building,a map with the red circle on it and a sign that says you are here,a map with a circle with an arrow
frame0-00-12.51.jpg,several feet in a row on the ground with a dog,the feet of people in shoes stand in front of a man on a bus,a group of people standing close to each other and feet in flip flops
frame0-00-13.01.jpg,a group of people are standing on a cement ground,two men standing next to each other wearing jeans and shoes,a picture of an individual standing up behind several people
frame0-00-13.51.jpg,several feet are shown next to each other on the ground,a person with brown shoes standing next to a line of people,many people are standing around wearing foot wear
frame0-00-14.01.jpg,several persons feet walking on the ground with confetti spilled,a small white object on the ground behind two men,"the bottom of people standing on one knee, another foot and two legs"
frame0-00-14.51.jpg,the legs of someone standing on a carpet with confetti all over them,the person has broken their shoes with two toes,a close up view of someones shoes on the ground
frame0-00-15.02.jpg,this is an image of legs and feet,a persons feet are seen from behind a seat on a train,a close up of the feet of someone wearing black leather boots
frame0-00-15.52.jpg,a couple of feet are shown with several shoes,three legs standing in the middle of a room,the legs and feet of two men standing on a street with trash scattered all over the floor
frame0-00-16.02.jpg,there are several people that are standing on the sidewalk,several people walk down a city sidewalk near a wall,several people walking through a street in the rain
frame0-00-16.52.jpg,people are walking on the street during a parade,there are people walking around on a crowded street,people standing in the middle of a large crowd
frame0-00-17.02.jpg,a bunch of people walking on the side walk,a crowd of people are on a street,a crowd is gathered together at a street party
frame0-00-17.52.jpg,a street full of people watching a man in blue jeans walk down the street,a crowded street with crowds of people on the sidewalks,a lot of people and a man is walking in the street
frame0-00-18.02.jpg,crowd of people standing in line down street with buildings,people stand on the street during a parade,people gathered in the street watching the parade
frame0-00-18.52.jpg,several people are lined up in the middle of a street,people are walking in a crowded city street,some people in the street and many are lined up
frame0-00-19.02.jpg,a lot of people are standing in the street,a crowd of people on the street with barriers,several people are watching and standing in the street
frame0-00-19.52.jpg,"a line of people in the street, with a crowd behind them",people are standing at the side of the road watching some parade,a crowd of people are gathered around the streets
frame0-00-20.02.jpg,two men on cellphones with their hands on the bar,a close up of people behind the fence,some people behind an iron fence with scissors in their hands
frame0-00-20.52.jpg,a young boy behind a metal gate,a person in a blue hoodie is looking through the bars,a man wearing a black hat is leaning over a fence
frame0-00-21.02.jpg,a little boy is trying to get out of the jail,"a man standing outside a security gate, with his head on a bench",a person in blue is leaning up to the fence
frame0-00-21.52.jpg,the people are behind the bars of a metal fence,some people are looking out through an iron gate,a group of people who are standing behind bars
frame0-00-22.02.jpg,some kids in shorts are standing in the gate,two men standing on top of an iron gate,a couple of men in jail behind bars
frame0-00-22.52.jpg,a man peering out through an iron gate,"man looking over a metal gate, holding several tools",a man wearing glasses stands on the railing
frame0-00-23.02.jpg,people are looking through the gate at an old stone building,an asian man is standing outside his home on a gate,man standing outside of gate looking over iron bars
frame0-00-23.52.jpg,two people are seen looking over the metal railings,a young boy looking over a wrought iron fence,a young man is standing at the iron gate
frame0-00-24.02.jpg,some people in the city walking down the street,blurry image of woman with long dark hair on city street,a blurry photo of someone walking down the street
frame0-00-24.52.jpg,the city has people walking around and many other people,a view of some people walking down the street,a view of a city street with people on sidewalks
frame0-00-25.02.jpg,a large crowd walks through a busy downtown area,an image of many people walking around in the street,a group of people walking through a crowded city street
frame0-00-25.53.jpg,a man wearing sunglasses talking on a cell phone,this person wearing sunglasses with a winter outfit,a man using a camera to take a picture
frame0-00-26.03.jpg,the children are enjoying the life of the city street,two young girls look up at a red sign,two small children are standing close together and one is holding her ear up in the air
frame0-00-26.53.jpg,a woman standing with a boy near her,two young women are standing near each other and one girl is holding a small box,a young girl holding a red piece of luggage
frame0-00-27.03.jpg,young children holding a red card walk down the street,a young girl holds a red piece of paper,two girls standing at a red traffic sign
frame0-00-27.53.jpg,a girl with a surprised look on her face,an adorable little girl holding a red piece of luggage on a city street,girl holding up her card in the middle of a busy street
frame0-00-28.03.jpg,a group of girls who are holding red cards,two girls on a street side with red signs,two girls talking to each other on a city street
frame0-00-28.53.jpg,two girls in a city street looking at something,young people are talking and standing on the street,two girls are standing on the street and talking
frame0-00-29.03.jpg,an indian parade is being performed for a crowd,the crowd is watching as a man in a colorful costume waves,a crowd of people standing around each other
frame0-00-29.53.jpg,people on the street waving at the camera,a crowd of people standing on the street in front of a man standing on a stage,a crowd of people standing around a stage and some with clown costumes
frame0-00-30.03.jpg,a group of men and women dressed in colorful clothes dancing,a crowd of people on street with flags and clowns,group of people in costumes dancing around in front of a crowd
frame0-00-30.53.jpg,an outdoor stage with people in costume,a large crowd of people is waiting for a parade,people with umbrellas are walking around an urban area
frame0-00-31.03.jpg,a crowd in front of a bank with balloons,a crowd of people on a city street,people outside on the street watching clowns playing
frame0-00-31.53.jpg,a group of people in costumes watching a parade,a bunch of people marching down a city street,a large group of people on the street playing with balloons
frame0-00-32.03.jpg,there is a man with some balloons on his head,large crowd with balloons and people in front of a bank,several blue balloons are flying while people watch
frame0-00-32.53.jpg,a bunch of people watching some people play with balloons,people standing in the street at a parade,a group of people standing around each other at a parade
frame0-00-33.03.jpg,a group of people with blue balloons standing in front of a building,some blue balloons are in the shape of a heart as people stand in front,"a group of people in red and orange outfits in the street, some with blue balloons on their head"
frame0-00-33.50.jpg,a crowd of people standing on a street with balloons in the air,a crowd is outside in a public square,many people on a city street with balloons
frame0-00-34.00.jpg,people with blue balloons in the street are taking photos,"a crowd with balloons, dressed in red, blue and gold",this is an image of a marching parade
frame0-00-34.50.jpg,group of people on the street performing in front of a large crowd,this is a group of people walking down a street,people standing on a street watching some people in costumes
frame0-00-35.00.jpg,a crowd of people standing on top of a street,a crowd of people in costumes and in front of a bank,an image of people that are holding balloons
frame0-00-35.50.jpg,a large group of people wearing costumes and balloons,a crowd of people with flowers and balloons,a parade is being performed for spectators
frame0-00-36.00.jpg,people are watching and holding balloons while others walk by,people in orange dresses dancing on the street with some balloons,a crowd watching people in fancy clothes dance together
frame0-00-36.50.jpg,the people are in full costume at the carnival,a group of people in costume at a carnival,people in red and yellow outfits are watching a band
frame0-00-37.00.jpg,some people wearing red and yellow in a parade,people walking in a street and some with costumes,group of people marching down the street in an asian parade
frame0-00-37.50.jpg,a parade with many people and a dragon float,a dragon dance with its head up,a bunch of people walking down the street with some lions
frame0-00-38.00.jpg,people are walking down a street with dragon costume,people walking along a crowded street with float in the middle,a group of people in red and yellow outfits and some are walking in a parade
frame0-00-38.51.jpg,people walking down the street wearing colorful costumes,there is a parade going on in this city,large groups of people standing in front of buildings during a parade
frame0-00-39.01.jpg,a crowd watching people and large items being displayed,a very big colorful and well decorated animal float,people dressed up in costume taking photos and other things
frame0-00-39.51.jpg,a large group of people looking up at gold and red decorations,a crowd of people who are standing with cell phones,people taking pictures with their phones in front of a shrine
frame0-00-40.01.jpg,many people walk on a crowded street during the day,a crowd of people that are standing in the street,a group of women walking down the street together
frame0-00-40.51.jpg,group of people with long hair and colorful clothing walking down the street,a woman with many colored decorations is walking down the street,a bunch of people that are walking around
frame0-00-41.01.jpg,an asian women walking down a street with many other women,a woman with large headdress is surrounded by people,a woman in orange and pink walks on a city street
frame0-00-41.51.jpg,a group of women walking down the street,the people are walking through the busy street,a group of people stand on a street with brightly colored outfits
frame0-00-42.01.jpg,a large group of people are gathered together in the city,a group of people standing around each other on the street,people wearing decorations walking on a street
frame0-00-42.51.jpg,several people wearing red are riding in an asian parade,the people are dressed in red and gold,people holding onto red banners and waving
frame0-00-43.01.jpg,people with red hats stand behind a barrier,several people with red hats and flags walk on the street,some people are in costume walking around
frame0-00-43.51.jpg,two people in costumes with banners on each side of a city street,some asian men dressed in elaborately designed costumes,people wearing red clothing and big hats are holding chinese flags
frame0-00-44.01.jpg,a group of people stand in front of an orange sign,an asian parade with a man standing on a stage surrounded by red banners,a red banner with asian writing is being carried through the city
frame0-00-44.51.jpg,some people are walking around a street with blue balloons,many people walk down the street carrying balloons,a number of people in a city street
frame0-00-45.01.jpg,blue and red balloons floating above people standing in an intersection,a crowd of people with balloons and street signs,a crowd of people walking on a street with some holding onto blue balloons
