,0,1
0,"You hear music, chink, clink, new-age music, drum machine, and synthesizer and see a couple of people riding boards with snowboards",1.15
1,"You hear music, chink, clink, new-age music, drum machine, and synthesizer and see a view of a street light from the road",1.15
2,"You hear music, chink, clink, new-age music, drum machine, and synthesizer and see a white clock sitting above a street sign",1.15
3,"You hear music, chink, clink, new-age music, drum machine, and synthesizer and see there are several black and white planes in the sky",1.15
4,"You hear music, chink, clink, new-age music, drum machine, and synthesizer and see the side view of a knife that is sticking out of the ground",1.15
5,"You hear music, chink, clink, new-age music, drum machine, and synthesizer and see a computer keyboard with the words mac pro",1.15
6,"You hear music, chink, clink, new-age music, drum machine, and synthesizer and see a white background that has a rectangular strip",1.15
7,"You hear music, chink, clink, new-age music, drum machine, and synthesizer and see three giraffes stand in the tall grass",1.15
8,"You hear music, chink, clink, new-age music, drum machine, and synthesizer and see a large brown piece of paper with black border",1.15
9,"You hear music, chink, clink, new-age music, drum machine, and synthesizer and see the back of an empty brown rectangular object",1.15
10,"You hear music, chink, clink, new-age music, drum machine, and synthesizer and see a piece of machinery is silhouetted on a white background",1.15
11,"You hear music, chink, clink, new-age music, drum machine, and synthesizer and see a close up of an object on a white background",1.15
12,"You hear music, ding, speech, chink, clink, and ringtone and see the silhouette of a small vehicle on a white background",1.15
13,"You hear music, ding, speech, chink, clink, and ringtone and see a computer screen showing an image of a mouse",1.15
14,"You hear music, ding, speech, chink, clink, and ringtone and see the logo for a company that sells products",1.15
15,"You hear music, ding, speech, chink, clink, and ringtone and see an image of a dog logo with the letter g",1.15
16,"You hear music, ding, speech, chink, clink, and ringtone and see the logo for the g o company",1.15
17,"You hear music, ding, speech, chink, clink, and ringtone and see a small dog that is sticking out of a tube",1.15
18,"You hear music, ding, speech, chink, clink, and ringtone and see the logo for giraffes is shown in this image",1.15
19,"You hear music, ding, speech, chink, clink, and ringtone and see a logo for an appliance and printing company",1.15
20,"You hear music, ding, speech, chink, clink, and ringtone and see the glamp logo in brown",1.15
21,"You hear music, ding, speech, chink, clink, and ringtone and see a large brown sign on a white background",1.15
22,"You hear music, ding, speech, chink, clink, and ringtone and see the word glazrin is brown with a small cartoon character in it",1.15
23,"You hear music, ding, speech, chink, clink, and ringtone and see a person with an animal head that has the words glamiz on it",1.15
24,"You hear music, ambient music, new-age music, speech, and ding and see the logo of an ice cream shop",1.7
25,"You hear music, ambient music, new-age music, speech, and ding and see a logo for a chocolate company",1.7
26,"You hear music, ambient music, new-age music, speech, and ding and see a cartoon style logo that is very pretty",1.7
27,"You hear music, ambient music, new-age music, speech, and ding and see a cartoon character holding an umbrella in front of the word glamrid",1.7
28,"You hear music, ambient music, new-age music, speech, and ding and see the glyziria logo on the side of a white wall",1.7
29,"You hear music, ambient music, new-age music, speech, and ding and see the word glarrid is spelled on top of a white background",1.7
30,"You hear music, ambient music, new-age music, speech, and ding and see a black and white picture of the word gizri",1.7
31,"You hear music, ambient music, new-age music, speech, and ding and see the word gloreria is surrounded by brown letters",1.7
32,"You hear music, ambient music, new-age music, speech, and ding and see a large white logo with the words glorria",1.7
33,"You hear music, ambient music, new-age music, speech, and ding and see the logo of glyria is a large brown dog",1.7
34,"You hear music, ambient music, new-age music, speech, and ding and see the word glorria is a brown and white image",1.7
35,"You hear music, ambient music, new-age music, speech, and ding and see a glarria font logo design for an electrical company",1.7
36,"You hear speech, music, ding, jingle, tinkle, and clang and see the logo for an appetizing website",1.45
