,0,1
0,"You hear music, violin, fiddle, musical instrument, bowed string instrument, and classical music and see a black background with a giraffe and another giraffe",1.7
1,"You hear music, violin, fiddle, musical instrument, bowed string instrument, and classical music and see a traffic light in front of high rise buildings at night",1.7
2,"You hear music, violin, fiddle, musical instrument, bowed string instrument, and classical music and see view of the city from across a wide bay",1.7
3,"You hear music, violin, fiddle, musical instrument, bowed string instrument, and classical music and see a view from a train in the city with skyscrapers",1.7
4,"You hear music, musical instrument, traditional music, clarinet, and classical music and see an aerial photo looking at tall buildings",1.7
5,"You hear music, musical instrument, traditional music, clarinet, and classical music and see looking down at two buildings from the windows in a city",1.7
6,"You hear music, musical instrument, traditional music, clarinet, and classical music and see large brown building with trees in front and a lot of windows",1.7
7,"You hear music, musical instrument, traditional music, clarinet, and classical music and see large brick buildings in the background are all surrounded by tall skyscrapers",1.7
8,"You hear music, bagpipes, musical instrument, wind instrument, woodwind instrument, and speech and see large brown buildings in a city with tall windows",1.5
9,"You hear music, bagpipes, musical instrument, wind instrument, woodwind instrument, and speech and see a street sign in front of tall buildings",1.5
10,"You hear music, bagpipes, musical instrument, wind instrument, woodwind instrument, and speech and see the little girl is sitting on the train",1.5
11,"You hear music, bagpipes, musical instrument, wind instrument, woodwind instrument, and speech and see a little girl sitting on the subway, in winter coat",1.5
12,"You hear music, musical instrument, violin, fiddle, traditional music, and carnatic music and see the girl has dark hair and is wearing a yellow jacket",1.55
13,"You hear music, musical instrument, violin, fiddle, traditional music, and carnatic music and see the small girl is waiting to ride on the subway",1.55
14,"You hear music, musical instrument, violin, fiddle, traditional music, and carnatic music and see an asian girl looking through the window of a train",1.55
15,"You hear music, musical instrument, violin, fiddle, traditional music, and carnatic music and see a man on a bench with some swords",1.55
16,"You hear music, brass instrument, musical instrument, trumpet, and clarinet and see a man sits on the ground holding a crutch",1.75
17,"You hear music, brass instrument, musical instrument, trumpet, and clarinet and see the man is on the step, wearing boots and holding his umbrella",1.75
18,"You hear music, brass instrument, musical instrument, trumpet, and clarinet and see a man leaning against a rail on top of stairs",1.75
19,"You hear music, brass instrument, musical instrument, trumpet, and clarinet and see a man riding a skateboard down a sidewalk",1.75
20,"You hear music, violin, fiddle, musical instrument, traditional music, and bowed string instrument and see the sign is posted on the brick wall",1.95
21,"You hear music, violin, fiddle, musical instrument, traditional music, and bowed string instrument and see there is no circle in this map, and you can not see where the street names are",1.95
22,"You hear music, violin, fiddle, musical instrument, traditional music, and bowed string instrument and see a map with an image of a red circle in front of it",1.95
23,"You hear music, violin, fiddle, musical instrument, traditional music, and bowed string instrument and see a map with some red marker on it",1.95
24,"You hear music, traditional music, bagpipes, musical instrument, and classical music and see a closeup of a map with a red arrow pointing at a small building",2.2
25,"You hear music, traditional music, bagpipes, musical instrument, and classical music and see several feet in a row on the ground with a dog",2.2
26,"You hear music, traditional music, bagpipes, musical instrument, and classical music and see a group of people are standing on a cement ground",2.2
27,"You hear music, traditional music, bagpipes, musical instrument, and classical music and see several feet are shown next to each other on the ground",2.2
28,"You hear music, musical instrument, violin, fiddle, traditional music, and bagpipes and see several persons feet walking on the ground with confetti spilled",2.2
29,"You hear music, musical instrument, violin, fiddle, traditional music, and bagpipes and see the legs of someone standing on a carpet with confetti all over them",2.2
30,"You hear music, musical instrument, violin, fiddle, traditional music, and bagpipes and see this is an image of legs and feet",2.2
31,"You hear music, musical instrument, violin, fiddle, traditional music, and bagpipes and see a couple of feet are shown with several shoes",2.2
32,"You hear music, brass instrument, trumpet, musical instrument, and violin, fiddle and see there are several people that are standing on the sidewalk",1.8
33,"You hear music, brass instrument, trumpet, musical instrument, and violin, fiddle and see people are walking on the street during a parade",1.8
34,"You hear music, brass instrument, trumpet, musical instrument, and violin, fiddle and see a bunch of people walking on the side walk",1.8
35,"You hear music, brass instrument, trumpet, musical instrument, and violin, fiddle and see a street full of people watching a man in blue jeans walk down the street",1.8
36,"You hear music, speech, singing, crowd, and shout and see crowd of people standing in line down street with buildings",2.3
37,"You hear music, speech, singing, crowd, and shout and see several people are lined up in the middle of a street",2.3
38,"You hear music, speech, singing, crowd, and shout and see a lot of people are standing in the street",2.3
39,"You hear music, speech, singing, crowd, and shout and see a line of people in the street, with a crowd behind them",2.3
