,0,1,2,3,4
0,Speech,Vehicle,Car,Music,"Outside, rural or natural"
1,Speech,Music,Vehicle,"Gunshot, gunfire",Musical instrument
2,Speech,Music,Vehicle,Car,"Gunshot, gunfire"
3,Speech,Vehicle,Car,"Outside, urban or manmade",Music
4,Speech,Vehicle,Car,Music,"Outside, urban or manmade"
5,Speech,Vehicle,Car,Music,"Gunshot, gunfire"
6,Speech,Vehicle,Music,Car,Fowl
7,Speech,Vehicle,Car,Fowl,Music
8,Speech,Tuning fork,Vehicle,Sine wave,Music
9,Speech,Vehicle,Car,Music,"Outside, urban or manmade"
10,Speech,Vehicle,Music,Car,"Outside, urban or manmade"
11,Speech,Vehicle,Music,Fowl,"Gunshot, gunfire"
12,Speech,Music,Vehicle,"Gunshot, gunfire",Fowl
13,Speech,Vehicle,"Outside, urban or manmade",Car,Animal
14,Speech,Music,Vehicle,Fowl,Animal
15,Speech,Vehicle,Car,Music,"Gunshot, gunfire"
16,Speech,Vehicle,Car,Car passing by,"Outside, urban or manmade"
17,Speech,Vehicle,Car,Music,"Outside, urban or manmade"
18,Speech,Vehicle,Car,Music,"Outside, urban or manmade"
19,Speech,Vehicle,Car,Music,"Outside, urban or manmade"
20,Speech,Vehicle,Car,"Outside, urban or manmade",Truck
21,Speech,Vehicle,Car,Music,"Gunshot, gunfire"
22,Speech,Vehicle,Car,Music,"Outside, urban or manmade"
23,Speech,Vehicle,Car,Fowl,"Outside, rural or natural"
24,Speech,Fowl,Vehicle,"Gunshot, gunfire","Outside, rural or natural"
25,Speech,Vehicle,Car,"Outside, urban or manmade","Outside, rural or natural"
26,Speech,Vehicle,Car,Music,"Outside, urban or manmade"
27,Speech,Artillery fire,Vehicle,"Gunshot, gunfire",Car
28,Speech,Vehicle,Motorcycle,Car,"Outside, rural or natural"
29,Speech,Vehicle,Motorcycle,"Outside, rural or natural",Music
30,Speech,Vehicle,Music,Wind,Animal
31,Speech,"Gunshot, gunfire",Vehicle,Music,Artillery fire
32,Speech,Vehicle,"Outside, urban or manmade",Music,Car
33,Speech,Vehicle,Wind,Wind noise (microphone),Car
34,Speech,Music,Vehicle,"Outside, urban or manmade","Gunshot, gunfire"
35,Speech,Vehicle,Music,Car,"Vehicle horn, car horn, honking"
36,Speech,Vehicle,Music,Car,"Outside, urban or manmade"
37,Speech,Vehicle,"Outside, urban or manmade",Car,"Outside, rural or natural"
38,Speech,Vehicle,Car,"Outside, urban or manmade",Music
39,Speech,Music,Vehicle,Animal,Silence
40,Speech,Vehicle,"Gunshot, gunfire",Car,Artillery fire
41,Speech,Vehicle,Car,"Outside, urban or manmade",Car passing by
42,Speech,Vehicle,Car,Music,"Outside, urban or manmade"
43,Speech,Vehicle,Car,Music,"Outside, urban or manmade"
