Title,Cap1,Cap2,Cap3
frame0-00-00.00.jpg,a large vase sitting in the dark on a table,a red stop light that is on in the dark,a white bowl with a purple substance in it
frame0-00-00.50.jpg,man in a yellow jacket standing by himself,a man in protective gear in a dirt field,a man riding a snowboard down a dirt road
frame0-00-01.00.jpg,a man standing in a field with trees and dirt,a man in a yellow jacket wearing gear walking on a dirt road,a man with his gear on standing in the dirt
frame0-00-01.50.jpg,a man standing in front of an open field,a man in a protective gear looks at the camera,this is a man that is riding an atv
frame0-00-02.00.jpg,a man standing in a dirt field wearing a catchers gear,a person in an orange and gray jacket on dirt road,a man with a glove on walking in the dirt
frame0-00-02.50.jpg,a man wearing an extreme vest is looking into the distance,a man in a vest standing on the side of the road,a man wearing an inflatable vest and standing by himself
frame0-00-03.00.jpg,a man is standing in the dirt with his shoulder protection gear on,a man holding a cell phone while standing on top of a dirt field,there is a man that is riding skis
frame0-00-03.50.jpg,the man in a vest is walking through the dirt,a man with a harness on wearing a backpack,a man standing in the middle of a dirt road
frame0-00-04.00.jpg,man in a yellow shirt and grey jacket wearing a helmet,the man is talking to the camera in his uniform,a man wearing a life jacket standing on the side of the road
frame0-00-04.50.jpg,this is a man wearing a safety device,a man in yellow shirt with safety equipment on,a man wearing gloves is outside in the dirt
frame0-00-05.00.jpg,a man standing on the sand next to some trees,a person in a yellow jacket with an orange and black jacket on,a man with a catchers mitt is standing in a dirt field
frame0-00-05.51.jpg,there is a person that is skiing in the snow,the man is standing outside and wearing goggles,a man with a protective gear is outside
frame0-00-06.01.jpg,a man wearing a catchers mitt and standing in the dirt,a man standing in the dirt with something in his hand,"a man on a cell phone, standing in a desert"
frame0-00-06.51.jpg,a man riding on top of a dirt bike,a person wearing a yellow and black shirt and gloves holding two tennis balls,a man is standing in the dirt in front of a field
frame0-00-07.01.jpg,the man is dressed in yellow and black riding his bike,a man riding on top of a motorcycle wearing protective gear,an extreme biker is riding through the countryside
frame0-00-07.51.jpg,a man in an old motorcycle suit and goggles is walking with his hands on his hips,a man holding onto something outside with trees in the background,a man on a motorcycle standing in the middle of a road
frame0-00-08.01.jpg,a man is walking with some gloves on,a man wearing an orange and gray jacket riding a dirt bike,a young man is preparing his motorcycle for a ride
frame0-00-08.51.jpg,a man holding an umbrella in his hands,a person with gloves that are standing in the dirt,a man is on the bike and is smiling
frame0-00-09.01.jpg,a man standing outside in the dirt near trees,a man wearing gloves on top of a dirt field,a man standing on dirt road next to a forest
frame0-00-09.51.jpg,a man standing in the dirt wearing gloves,the man in the yellow and black helmet is on his bike,a man standing on dirt road next to trees
frame0-00-10.01.jpg,a man that is sitting down with a bat,man standing in dirt holding a baseball bat,the man is holding his baseball bat while standing in the dirt
frame0-00-10.51.jpg,a man with a brown motorcycle helmet and protective vest,the man in orange jacket is riding on a horse,man walking in the dirt with an object in his hand
frame0-00-11.01.jpg,the man is preparing to go down the hill,a man holding a baseball bat and gloves in front of a dirt road,a man standing in the dirt holding a baseball bat
frame0-00-11.51.jpg,a man standing on a dirt road holding a baseball bat,a man holding a baseball bat on top of a field,a person that has a baseball bat in hand
frame0-00-12.01.jpg,a man holding a baseball bat in his hand,"a man wearing an arm guards and baseball gloves, standing in a dirt field with his bat in hand",a man is on a dirt road with an object
frame0-00-12.51.jpg,a man in a vest holding up an object,a man wearing a protective vest holds a baseball bat and points at the camera,a man on a dirt bike pointing to something
frame0-00-13.01.jpg,man in orange shirt standing next to bicycle with glove on,the man is holding up his hand to the camera,a man in a baseball uniform holding a bat
frame0-00-13.51.jpg,man with a helmet and glove standing by a motorcycle,a man holding a baseball bat with his left arm,man in an orange shirt has his hand up
frame0-00-14.01.jpg,the man is posing for the picture while in the dirt,a man holding something out on his shoulder,a man standing outside with a pair of gloves on his arm
frame0-00-14.51.jpg,a man is throwing frisbees in the desert,a man with a helmet and safety vest holding his arm up,a man standing next to a bike on a dirt field
frame0-00-15.02.jpg,a person with arm out in the desert,a man wearing an armor in a desert environment,a man is taking a selfie in the desert
frame0-00-15.52.jpg,man standing in dirt area holding up something,a man in a black and orange jacket with an animal,a man in an orange and black shirt holding his mitts
frame0-00-16.02.jpg,a man in a yellow shirt wearing white gloves,a man holding a banana in his hand in front of a park,a man standing in the middle of a field
frame0-00-16.52.jpg,a man standing next to a horse on top of dirt,a man is on the ground with a bike,man with an overhand glove taking a photo while on the sand
frame0-00-17.02.jpg,a man wearing a yellow shirt holding a baseball bat,a man is throwing a frisbee while wearing a protective suit,man holding something in his hand on the beach
frame0-00-17.52.jpg,man in an orange outfit with a motor bike,a man holding a pair of motorcycle gloves on his arm,a man holding his fist up and posing for a picture
frame0-00-18.02.jpg,man about to put on his bicycle helmet in a dirt field,the man is putting on gloves near his vehicle,a man poses with his arms crossed and holding a pole
frame0-00-18.52.jpg,man in a yellow outfit poses with a pole,a man holding a white glove on top of his arm,a man in a yellow and grey shirt and helmet holding a baseball bat
frame0-00-19.02.jpg,a man in a yellow vest stands holding a bat,man holding up something to his left and showing thumbs up,a man standing in the dirt with a glove
frame0-00-19.52.jpg,a man is holding something up to his ear,a man holding onto a baseball bat and glove,a man that is standing near a baseball bat
frame0-00-20.02.jpg,a man holding a baseball bat in the dirt,man holding baseball bat on dirt path in open field,a man in orange is holding up a baseball bat
frame0-00-20.52.jpg,a man holding a baseball bat and pointing to it,a man holding up his glove on a field,a man holding onto his helmet and baseball bat
frame0-00-21.02.jpg,a man is standing next to some baseball bats and balls,a man holding up his arm wearing a jacket,this is an image of man holding a baseball bat
frame0-00-21.52.jpg,man in gray and orange jacket holding onto a baseball bat,a man standing next to a motor cycle in the dirt,there is a man holding an umbrella while on a road
frame0-00-22.02.jpg,an image of a man with a bat in his hands,a man in his sports gear stands in front of a dirt road,there is a man that is on a skateboard
frame0-00-22.52.jpg,a man standing in the dirt holding an empty baseball bat,a person standing in front of an empty dirt field with a baseball bat,a man with a helmet and a baseball bat
frame0-00-23.02.jpg,a man with a helmet and a stick in his hand,the man is walking with a bat in his hands,man in orange and black jacket carrying baseball bat
frame0-00-23.52.jpg,a man with a baseball bat in his hand and wearing a helmet,a man holding a bat in his hand standing next to a dirt field,man on a dirt field carrying a baseball bat
frame0-00-24.02.jpg,the man is holding a baseball bat in his hand,the man is standing near a beach holding an object,a man is holding a baseball bat on a dirt field
frame0-00-24.52.jpg,a man standing in the dirt holding a baseball bat,a man with a bat posing for a picture,man with gear on walking across dirt field
frame0-00-25.02.jpg,the man stands with a stick in his hand,a man holding a baseball bat in the sand,a man holds a baseball bat while standing on the dirt
frame0-00-25.53.jpg,the man is holding his bat in one hand and wearing a protective suit,a man in a yellow jacket is standing near a baseball bat,there is a man holding a baseball bat
frame0-00-26.03.jpg,a man standing on a dirt road holding a bat,a person in orange shirt holding a baseball bat,a man holding a baseball bat and wearing a catchers mitt
frame0-00-26.53.jpg,a man in an astronaut suit holding onto a stick,a man is holding a baseball bat in a desert,a man holding a baseball bat while standing in front of a dirt road
frame0-00-27.03.jpg,a man is holding a baseball bat on a dirt ground,a man holding a baseball bat in the dirt,a man holding a baseball bat in a sandy area
frame0-00-27.53.jpg,a man is dressed in baseball equipment with gloves on,an older man holding a baseball bat near dirt road,a man standing in a field holding a baseball bat
frame0-00-28.03.jpg,a man holding a baseball bat in front of a dirt field,a man holding a baseball bat wearing a catchers glove,a man holding two large bats in both hands
frame0-00-28.53.jpg,a man that is holding a baseball bat,a man holding onto an old baseball bat,a man in a space suit carrying an object
frame0-00-29.03.jpg,a man in a body suit holding a baseball bat,a man holding a baseball bat on the dirt field,a man standing on a dirt road holding a baseball bat
