Title,Cap1,Cap2,Cap3
frame0-00-00.00.jpg,a couple of people riding boards with snowboards,several people playing tennis in the sand near the water,a person surfing on a wave in the ocean
frame0-00-00.20.jpg,a view of a street light from the road,a woman is sitting at a kitchen counter,two giraffes eating grass in an enclosure
frame0-00-00.36.jpg,a white clock sitting above a street sign,people sitting at a table eating and drinking beverages,the baby is playing in his crib with its toy
frame0-00-00.52.jpg,there are several black and white planes in the sky,a single light hangs in a corner of the sky,a cat in the distance standing under an umbrella
frame0-00-00.68.jpg,the side view of a knife that is sticking out of the ground,a piece of wood sitting on top of a white floor,a piece of black metal is sitting on a white background
frame0-00-00.84.jpg,a computer keyboard with the words mac pro,a closeup shot of a rectangular wooden handle,two pencils sitting next to each other on a white background
frame0-00-01.00.jpg,a white background that has a rectangular strip,a brown square object sits on a white surface,a picture of an object is shown against the wall
frame0-00-01.20.jpg,three giraffes stand in the tall grass,a man holding his surfboard and walking up to the beach,the plane is flying over the city in the foggy weather
frame0-00-01.36.jpg,a large brown piece of paper with black border,a brown colored wood strip or shelf against a white wall,a brown bar on top of white paper
frame0-00-01.52.jpg,the back of an empty brown rectangular object,a brown and brown rectangular tube with an empty end,the front end of an electronic device
frame0-00-01.68.jpg,a piece of machinery is silhouetted on a white background,a train car with the word logo on it,a flat icon with the image of a pipe
frame0-00-01.84.jpg,a close up of an object on a white background,a large group of wheels is shown on a white background,a train engine on a white background
frame0-00-02.00.jpg,the silhouette of a small vehicle on a white background,an abstract drawing of the inside of a car,an object made out of different shapes on white background
frame0-00-02.20.jpg,a computer screen showing an image of a mouse,a brown dog leash logo on top of a white background,the logo for a steam engine that is made out of black paper
frame0-00-02.36.jpg,the logo for a company that sells products,a gray cat standing on a bed with text on it,the logo for agrips
frame0-00-02.52.jpg,an image of a dog logo with the letter g,a cat laying on top of a large rope,a logo for a pet company
frame0-00-02.68.jpg,the logo for the g o company,the logo for a pet grooming company,an image of the letter g for a company
frame0-00-02.84.jpg,a small dog that is sticking out of a tube,the gly logo has been changed to appear that the letter g,a computer with an image of a mouse on the cover of it
frame0-00-03.00.jpg,the logo for giraffes is shown in this image,a black and white logo for a webpage,the logo for gld is brown and has an animal on it
frame0-00-03.20.jpg,a logo for an appliance and printing company,an animal type of lettering with a panda,an logo that is designed for the goji paper company
frame0-00-03.36.jpg,the glamp logo in brown,a logo with an elephant and dog on it,a logo with the letter glart in front
frame0-00-03.52.jpg,a large brown sign on a white background,the new logo for the game glory is being made,a logo for gluhri
frame0-00-03.68.jpg,the word glazrin is brown with a small cartoon character in it,the logo for glipri is on a white background,a dog that is eating something out of a bag
frame0-00-03.84.jpg,a person with an animal head that has the words glamiz on it,the word glortric written in brown ink,a logo for a group that is going to eat the same item
frame0-00-04.00.jpg,the logo of an ice cream shop,the logo for glidria,the logo for giraffes is shown
frame0-00-04.20.jpg,a logo for a chocolate company,the gliziria logo on the front of an image,an image of a cat sitting in the corner of a sign
frame0-00-04.36.jpg,a cartoon style logo that is very pretty,a glohria logo with the text,the giraffe logo on a white background
frame0-00-04.52.jpg,a cartoon character holding an umbrella in front of the word glamrid,a white background with brown font and the words glamrid,a large brown sign with the word glipia on it
frame0-00-04.68.jpg,the glyziria logo on the side of a white wall,the logo for a small animal store,the word glyria written in brown ink
