,0,1
0,"You hear music, violin, fiddle, and musical instrument and see a man holding up his arms as if to lift a tennis ball with one hand",1.7
1,"You hear music, violin, fiddle, and musical instrument and see a picture taken of an airplane at night",1.7
2,"You hear music, violin, fiddle, and musical instrument and see the black space in front of the cat is very dark",1.7
3,"You hear music, violin, fiddle, and musical instrument and see black and white photo of an intersection at night",1.7
4,"You hear music, violin, fiddle, and musical instrument and see the large brown building has a clock on it",1.7
5,"You hear music, violin, fiddle, and musical instrument and see this is an image of a city skyline with dark buildings",1.7
6,"You hear music, violin, fiddle, and musical instrument and see there is a building that is next to other buildings",1.7
7,"You hear music, violin, fiddle, and musical instrument and see two buildings with a plane flying in the sky",1.7
8,"You hear music, violin, fiddle, and musical instrument and see there is a blurry image of a city with a lot of buildings",1.7
9,"You hear music, violin, fiddle, and musical instrument and see a group of buildings that have some windows",1.7
10,"You hear music, violin, fiddle, and musical instrument and see many very tall buildings in the city",1.7
11,"You hear music, violin, fiddle, and musical instrument and see a tall city is shown with a white frisbee in the foreground",1.7
12,"You hear music, musical instrument, and traditional music and see the building is tall and the signs are red",1.7
13,"You hear music, musical instrument, and traditional music and see city skyline with several tall buildings in the foreground",1.7
14,"You hear music, musical instrument, and traditional music and see tall brown buildings along the highway with traffic",1.7
15,"You hear music, musical instrument, and traditional music and see two large brown buildings are in the distance and a street sign is out front of them",1.7
16,"You hear music, musical instrument, and traditional music and see a tooth brush in front of a blurry picture",1.7
17,"You hear music, musical instrument, and traditional music and see three brown brick buildings with windows on each side",1.7
18,"You hear music, musical instrument, and traditional music and see several buildings in the city with no people",1.7
19,"You hear music, musical instrument, and traditional music and see many tall buildings next to each other on a clear day",1.7
20,"You hear music, musical instrument, and traditional music and see a few tall brown buildings and cars in the road",1.7
21,"You hear music, musical instrument, and traditional music and see tall buildings are sitting near each other",1.7
22,"You hear music, musical instrument, and traditional music and see two tall buildings with a train passing in front",1.7
23,"You hear music, musical instrument, and traditional music and see there are many brown buildings with a tall white building",1.7
24,"You hear music, bagpipes, and musical instrument and see some very tall brown buildings with many windows",1.5
25,"You hear music, bagpipes, and musical instrument and see the skyscrapers in a city are near each other",1.5
26,"You hear music, bagpipes, and musical instrument and see a lot of large brown buildings with no windows",1.5
27,"You hear music, bagpipes, and musical instrument and see there is no image here to provide a caption for",1.5
28,"You hear music, bagpipes, and musical instrument and see several large brick buildings against a blue sky",1.5
29,"You hear music, bagpipes, and musical instrument and see the sky scrapes past the tall buildings in the city",1.5
30,"You hear music, bagpipes, and musical instrument and see the little girl is sitting in the subway",1.5
31,"You hear music, bagpipes, and musical instrument and see the young girl is sitting down in the seat of the subway train",1.5
32,"You hear music, bagpipes, and musical instrument and see young girl on the train with her arms crossed",1.5
33,"You hear music, bagpipes, and musical instrument and see a young girl is waiting on the subway for her train",1.5
34,"You hear music, bagpipes, and musical instrument and see young asian girl in jacket on subway",1.5
35,"You hear music, bagpipes, and musical instrument and see the little girl is sitting down with her arms folded up",1.5
36,"You hear music, musical instrument, and violin, fiddle and see little girl sitting on a train looking at something",1.55
37,"You hear music, musical instrument, and violin, fiddle and see a little girl that is sitting down on a bus",1.55
38,"You hear music, musical instrument, and violin, fiddle and see an asian girl sitting down on a train looking to her left",1.55
39,"You hear music, musical instrument, and violin, fiddle and see an image of a little girl with brown clothes",1.55
40,"You hear music, musical instrument, and violin, fiddle and see a little girl dressed in gold sits on a subway",1.55
41,"You hear music, musical instrument, and violin, fiddle and see little girl sitting on the subway looking out the window",1.55
42,"You hear music, musical instrument, and violin, fiddle and see a small child with long dark hair sitting on a subway",1.55
43,"You hear music, musical instrument, and violin, fiddle and see a young girl in a tan coat is sitting on a train",1.55
44,"You hear music, musical instrument, and violin, fiddle and see a person with a hat sitting on steps with sticks",1.55
45,"You hear music, musical instrument, and violin, fiddle and see a man holding a sword next to a bag",1.55
46,"You hear music, musical instrument, and violin, fiddle and see a man is sitting down and holding two swords",1.55
47,"You hear music, musical instrument, and violin, fiddle and see a man sitting on the ground with two swords in hand",1.55
48,"You hear music, brass instrument, and musical instrument and see a man sitting on the side of a building and playing a game",1.75
49,"You hear music, brass instrument, and musical instrument and see there is a man sitting on the ground with weapons",1.75
50,"You hear music, brass instrument, and musical instrument and see a man sitting down next to a woman holding an umbrella",1.75
51,"You hear music, brass instrument, and musical instrument and see a person is sitting on the steps with a cane",1.75
52,"You hear music, brass instrument, and musical instrument and see a man sits on the side of a stair railing, writing on his cell phone",1.75
53,"You hear music, brass instrument, and musical instrument and see a man with a umbrella on his hand near a fence",1.75
54,"You hear music, brass instrument, and musical instrument and see a man is standing next to a gate eating something",1.75
55,"You hear music, brass instrument, and musical instrument and see a woman carrying a white teddy bear through a gate",1.75
56,"You hear music, brass instrument, and musical instrument and see a brick wall next to a metal gate and metal fence",1.75
57,"You hear music, brass instrument, and musical instrument and see there is a street sign on the side of the building",1.75
58,"You hear music, brass instrument, and musical instrument and see a black sign that reads canal street on it",1.75
59,"You hear music, brass instrument, and musical instrument and see a sign that is on a white building",1.75
60,"You hear music, violin, fiddle, and musical instrument and see there is a small sign that says canal street",1.95
61,"You hear music, violin, fiddle, and musical instrument and see a white building with a black sign on it",1.95
62,"You hear music, violin, fiddle, and musical instrument and see sign for canal street attached to white brick building",1.95
63,"You hear music, violin, fiddle, and musical instrument and see the map is marked with an arrow pointing out into hell",1.95
64,"You hear music, violin, fiddle, and musical instrument and see a photo of the map in red with an arrow pointing to it",1.95
65,"You hear music, violin, fiddle, and musical instrument and see there is a street map with a red circle in the middle",1.95
66,"You hear music, violin, fiddle, and musical instrument and see a map with an image of the street marked in red",1.95
67,"You hear music, violin, fiddle, and musical instrument and see the word that is circled over the map is clearly red",1.95
68,"You hear music, violin, fiddle, and musical instrument and see a red circle is in the middle of a map",1.95
69,"You hear music, violin, fiddle, and musical instrument and see a map with a red circle that says you are here",1.95
70,"You hear music, violin, fiddle, and musical instrument and see a map with a pin and a circle with a red arrows",1.95
71,"You hear music, violin, fiddle, and musical instrument and see a map with the location of a red circle and you are here here in the middle",1.95
72,"You hear music, traditional music, and bagpipes and see a map with a circle in it and a small red sign",2.2
73,"You hear music, traditional music, and bagpipes and see a close up image of a street map with a no u - turn arrow on it",2.2
