,0,1
0,"You hear speech, vehicle, car, music, and outside, rural or natural and see a large vase sitting in the dark on a table",1.75
1,"You hear speech, vehicle, car, music, and outside, rural or natural and see man in a yellow jacket standing by himself",1.75
2,"You hear speech, vehicle, car, music, and outside, rural or natural and see a man standing in a field with trees and dirt",1.75
3,"You hear speech, vehicle, car, music, and outside, rural or natural and see a man standing in front of an open field",1.75
4,"You hear speech, music, vehicle, gunshot, gunfire, and musical instrument and see a man standing in a dirt field wearing a catchers gear",1.75
5,"You hear speech, music, vehicle, gunshot, gunfire, and musical instrument and see a man wearing an extreme vest is looking into the distance",1.75
6,"You hear speech, music, vehicle, gunshot, gunfire, and musical instrument and see a man is standing in the dirt with his shoulder protection gear on",1.75
7,"You hear speech, music, vehicle, gunshot, gunfire, and musical instrument and see the man in a vest is walking through the dirt",1.75
8,"You hear speech, music, vehicle, car, and gunshot, gunfire and see man in a yellow shirt and grey jacket wearing a helmet",1.7
9,"You hear speech, music, vehicle, car, and gunshot, gunfire and see this is a man wearing a safety device",1.7
10,"You hear speech, music, vehicle, car, and gunshot, gunfire and see a man standing on the sand next to some trees",1.7
11,"You hear speech, music, vehicle, car, and gunshot, gunfire and see there is a person that is skiing in the snow",1.7
12,"You hear speech, vehicle, car, outside, urban or manmade, and music and see a man wearing a catchers mitt and standing in the dirt",1.6
13,"You hear speech, vehicle, car, outside, urban or manmade, and music and see a man riding on top of a dirt bike",1.6
14,"You hear speech, vehicle, car, outside, urban or manmade, and music and see the man is dressed in yellow and black riding his bike",1.6
15,"You hear speech, vehicle, car, outside, urban or manmade, and music and see a man in an old motorcycle suit and goggles is walking with his hands on his hips",1.6
16,"You hear speech, vehicle, car, music, and outside, urban or manmade and see a man is walking with some gloves on",1.8
17,"You hear speech, vehicle, car, music, and outside, urban or manmade and see a man holding an umbrella in his hands",1.8
18,"You hear speech, vehicle, car, music, and outside, urban or manmade and see a man standing outside in the dirt near trees",1.8
19,"You hear speech, vehicle, car, music, and outside, urban or manmade and see a man standing in the dirt wearing gloves",1.8
20,"You hear speech, vehicle, car, music, and gunshot, gunfire and see a man that is sitting down with a bat",1.35
21,"You hear speech, vehicle, car, music, and gunshot, gunfire and see a man with a brown motorcycle helmet and protective vest",1.35
22,"You hear speech, vehicle, car, music, and gunshot, gunfire and see the man is preparing to go down the hill",1.35
23,"You hear speech, vehicle, car, music, and gunshot, gunfire and see a man standing on a dirt road holding a baseball bat",1.35
24,"You hear speech, vehicle, music, car, and fowl and see a man holding a baseball bat in his hand",1.2
25,"You hear speech, vehicle, music, car, and fowl and see a man in a vest holding up an object",1.2
26,"You hear speech, vehicle, music, car, and fowl and see man in orange shirt standing next to bicycle with glove on",1.2
27,"You hear speech, vehicle, music, car, and fowl and see man with a helmet and glove standing by a motorcycle",1.2
28,"You hear speech, vehicle, car, fowl, and music and see the man is posing for the picture while in the dirt",1.4
29,"You hear speech, vehicle, car, fowl, and music and see a man is throwing frisbees in the desert",1.4
30,"You hear speech, vehicle, car, fowl, and music and see a person with arm out in the desert",1.4
31,"You hear speech, vehicle, car, fowl, and music and see man standing in dirt area holding up something",1.4
32,"You hear speech, tuning fork, vehicle, sine wave, and music and see a man in a yellow shirt wearing white gloves",1.45
33,"You hear speech, tuning fork, vehicle, sine wave, and music and see a man standing next to a horse on top of dirt",1.45
34,"You hear speech, tuning fork, vehicle, sine wave, and music and see a man wearing a yellow shirt holding a baseball bat",1.45
35,"You hear speech, tuning fork, vehicle, sine wave, and music and see man in an orange outfit with a motor bike",1.45
36,"You hear speech, vehicle, car, music, and outside, urban or manmade and see man about to put on his bicycle helmet in a dirt field",1.3
37,"You hear speech, vehicle, car, music, and outside, urban or manmade and see man in a yellow outfit poses with a pole",1.3
38,"You hear speech, vehicle, car, music, and outside, urban or manmade and see a man in a yellow vest stands holding a bat",1.3
39,"You hear speech, vehicle, car, music, and outside, urban or manmade and see a man is holding something up to his ear",1.3
40,"You hear speech, vehicle, music, car, and outside, urban or manmade and see a man holding a baseball bat in the dirt",1.25
41,"You hear speech, vehicle, music, car, and outside, urban or manmade and see a man holding a baseball bat and pointing to it",1.25
